gene,EC_artery,EC_capillary,EC_venous,SMC_vasc,SMC_artery,pericytes_st,pericytes_ECM,astro_Hpc,astro_ctx,microglia,oligodegro,OPC,neuron,SE_EC_artery,SE_EC_capillary,SE_EC_venous,SE_SMC_vasc,SE_SMC_artery,SE_pericytes_st,SE_pericytes_ECM,SE_astro_Hpc,SE_astro_ctx,SE_microglia,SE_oligodegro,SE_OPC,SE_neuron
IGF2R,0.107735584,0.134803397,0.160005649,0.137422589,0.199425287,0.252100038,0.231617092,0.095229835,0.083054093,0.125,0.061444653,0.078860172,0.085744909,0.006263935,0.003265951,0.004968739,0.006699536,0.011722427,0.005140018,0.006289124,0.004223405,0.004440956,0.125,0.002924184,0.007250178,0.010460049
IRS1,0.003656821,0.003853565,0.008614602,0.105278679,0.035632184,0.04285987,0.020081534,0.020815265,0.019147918,0,0.003283302,0.043074884,0.065380493,0.001012506,0.000523411,0.001151499,0.006266492,0.005135137,0.002234183,0.001887983,0.002019349,0.002173836,0,0.000619503,0.005862171,0.008237978
IRS2,0.006469761,0.015414258,0.008755825,0.058979652,0.043678161,0.036368843,0.031556696,0.422376409,0.280756343,0,0.068597561,0.124585818,0.091103966,0.001344857,0.001074439,0.001125062,0.004720949,0.005534389,0.001977546,0.002282078,0.010700102,0.008576512,0,0.00300551,0.00961969,0.010683904
PTEN,0.300703235,0.349033041,0.398248835,0.526983191,1.106321839,1.679839633,1.611354371,0.142411101,0.148157013,0,0.129924953,0.208084824,0.304394427,0.010554876,0.005554496,0.008160942,0.016001184,0.035499955,0.019535258,0.024098462,0.005562268,0.006437838,0,0.004517535,0.013169431,0.025230766
AKT1,0.02137834,0.020766431,0.021748341,0.025066352,0.014942529,0.02386407,0.021591424,0.012489159,0.016993777,0,0.01043621,0.01259112,0.01607717,0.002614665,0.001262486,0.001801209,0.002811545,0.00290933,0.001557019,0.001823997,0.001462768,0.002028271,0,0.001112939,0.003162628,0.004390088
AKT2,0.057383966,0.059516164,0.067080921,0.063698024,0.058045977,0.073501336,0.07096482,0.082914137,0.112733365,0,0.062265478,0.099403579,0.084673098,0.004099114,0.00210298,0.003142669,0.004812535,0.006114748,0.002695656,0.00335155,0.003972428,0.00523303,0,0.002789731,0.008308607,0.010524192
AKT3,1.249507736,1.495753943,1.190651038,1.277499263,1.132183908,1.317201222,0.987316926,0.904770165,0.837960747,0.625,0.635084428,1.192180252,0.844587353,0.02444477,0.013156899,0.0156384,0.025907696,0.032077967,0.013450476,0.014747825,0.014798107,0.015348753,0.323899235,0.010889098,0.032028016,0.042740546
TSC1,0.035443038,0.0414615,0.045756249,0.039516367,0.05,0.057655594,0.042729881,0.046313964,0.061991383,0,0.051008443,0.070245195,0.077170418,0.003251005,0.001795377,0.002577937,0.003644707,0.005351307,0.002439722,0.00259311,0.002895713,0.003822136,0,0.002566023,0.007278561,0.009127495
TSC2,0.038255977,0.032469849,0.039259992,0.033323503,0.033333333,0.04133257,0.031405707,0.04509974,0.060794639,0,0.043269231,0.047713718,0.03965702,0.003431775,0.001563894,0.002401316,0.003220602,0.004304552,0.002023011,0.002185428,0.002862474,0.003804208,0,0.002383258,0.005800544,0.006392419
RPS6KB1,0.061322082,0.066366945,0.086993363,0.073429667,0.05,0.064814815,0.079873169,0.052905464,0.057443753,0,0.043269231,0.049701789,0.071811361,0.004327709,0.002277287,0.003574093,0.005011546,0.005351307,0.002691574,0.003626359,0.003183945,0.003771345,0,0.002342519,0.006192886,0.008984308
RPS6KB2,0.02559775,0.025476343,0.027114814,0.029489826,0.023563218,0.025200458,0.027479994,0.020468343,0.022738152,0,0.021810507,0.019218025,0.032154341,0.002708273,0.001357631,0.001950825,0.003080003,0.003984277,0.001595502,0.002075905,0.001897039,0.002331197,0,0.001682876,0.004001841,0.006526188
MTOR,0.068917018,0.081353029,0.091371275,0.064582719,0.044827586,0.066342115,0.067643062,0.053772767,0.064145524,0.25,0.047373358,0.071570577,0.069667738,0.004395609,0.002536473,0.003660858,0.004745322,0.005093543,0.0026676,0.003314092,0.003148142,0.003865849,0.163663418,0.002517464,0.007086333,0.009738755
RPTOR,0.15021097,0.123314066,0.151249823,0.133588912,0.125862069,0.116743032,0.126679752,0.157155247,0.156055529,0.25,0.13238743,0.124585818,0.139335477,0.007015238,0.003088469,0.004728693,0.007056966,0.009115689,0.003525884,0.004556899,0.005598768,0.00607591,0.163663418,0.004339751,0.009151472,0.013474838
